hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
95.0,High,749,Moderate,73.69,High,Short-Term
79.4,High,2583,Poor,73.59,High,Short-Term
85.4,Moderate,500,Moderate,55.56,Moderate,Medium-Term
21.5,Very High,2351,Poor,61.2,High,Short-Term
18.6,Low,3365,Good,33.32,Low,Monitor
27.3,Very High,1796,Good,52.75,Moderate,Medium-Term
65.7,High,2287,Moderate,63.73,High,Short-Term
97.6,High,895,Good,58.84,Moderate,Medium-Term
70.9,Moderate,622,Poor,51.66,Moderate,Medium-Term
71.2,Very High,4916,Moderate,82.74,Critical,Immediate
32.9,Very High,3996,Poor,60.95,High,Short-Term
34.1,High,3740,Good,51.79,Moderate,Medium-Term
74.3,Moderate,4460,Poor,66.31,High,Short-Term
39.0,Very High,364,Poor,62.0,High,Short-Term
96.8,Very High,4698,Moderate,82.0,Critical,Immediate
74.8,High,2590,Moderate,70.55,High,Short-Term
45.1,Very High,342,Good,50.65,Moderate,Medium-Term
16.7,High,4727,Moderate,53.4,Moderate,Medium-Term
76.5,High,4658,Poor,80.51,Critical,Immediate
23.5,Moderate,3200,Poor,55.96,Moderate,Medium-Term
12.3,Very High,1888,Good,51.23,Moderate,Medium-Term
57.1,Moderate,1403,Poor,61.01,High,Short-Term
55.0,High,1883,Moderate,63.19,High,Short-Term
27.9,High,965,Poor,55.04,Moderate,Medium-Term
96.0,High,4214,Poor,86.23,Critical,Immediate
22.5,Very High,4153,Moderate,57.07,Moderate,Medium-Term
92.5,Moderate,1555,Moderate,57.7,Moderate,Medium-Term
53.3,High,3901,Poor,64.27,High,Short-Term
90.7,Very High,4852,Poor,91.09,Critical,Immediate
41.8,Moderate,337,Poor,39.32,Low,Monitor
61.0,Low,4774,Poor,59.24,Moderate,Medium-Term
2.3,Moderate,1463,Poor,36.42,Low,Monitor
68.4,High,286,Poor,61.95,High,Short-Term
79.0,Very High,4622,Poor,93.21,Critical,Immediate
85.0,Moderate,3850,Moderate,71.22,High,Short-Term
23.9,Very High,1736,Moderate,45.43,Moderate,Medium-Term
6.5,Low,1795,Poor,29.08,Low,Monitor
24.5,Very High,2081,Good,55.96,Moderate,Medium-Term
50.0,Low,2813,Good,35.17,Low,Monitor
72.2,Low,156,Poor,38.66,Low,Monitor
67.7,Very High,3256,Good,72.75,High,Short-Term
95.8,Low,4475,Poor,64.06,High,Short-Term
48.1,Low,2499,Moderate,47.08,Moderate,Medium-Term
72.5,Low,3076,Moderate,56.15,Moderate,Medium-Term
51.2,Very High,3610,Good,57.52,Moderate,Medium-Term
84.7,Low,1484,Moderate,49.19,Moderate,Medium-Term
34.0,Moderate,4053,Good,42.34,Moderate,Medium-Term
33.0,Low,3853,Poor,47.08,Moderate,Medium-Term
24.5,High,2905,Moderate,53.23,Moderate,Medium-Term
33.1,Very High,2212,Poor,58.08,Moderate,Medium-Term
3.6,Moderate,1312,Poor,30.87,Low,Monitor
22.1,High,4716,Moderate,60.02,High,Short-Term
30.7,Moderate,4750,Poor,54.37,Moderate,Medium-Term
71.3,High,1365,Poor,70.54,High,Short-Term
12.9,High,3247,Moderate,49.69,Moderate,Medium-Term
2.8,Moderate,4877,Moderate,37.36,Low,Monitor
1.2,High,4266,Poor,58.65,Moderate,Medium-Term
51.7,Very High,1495,Moderate,62.38,High,Short-Term
58.7,High,4387,Moderate,66.14,High,Short-Term
92.6,Moderate,4402,Moderate,67.33,High,Short-Term
89.7,Low,630,Moderate,44.51,Moderate,Medium-Term
20.6,Moderate,2379,Poor,48.93,Moderate,Medium-Term
78.9,Moderate,3020,Moderate,61.55,High,Short-Term
91.3,Low,4393,Good,63.89,High,Short-Term
36.4,Low,3364,Poor,40.03,Moderate,Medium-Term
33.0,Low,2323,Poor,48.48,Moderate,Medium-Term
84.7,Low,558,Moderate,47.95,Moderate,Medium-Term
24.8,High,1596,Poor,57.29,Moderate,Medium-Term
85.8,Moderate,3836,Good,56.01,Moderate,Medium-Term
60.9,High,848,Poor,55.0,Moderate,Medium-Term
83.1,Low,1185,Poor,50.91,Moderate,Medium-Term
20.8,Moderate,4897,Poor,54.26,Moderate,Medium-Term
9.8,Low,2712,Poor,27.7,Low,Monitor
47.8,Very High,783,Moderate,51.02,Moderate,Medium-Term
54.2,Moderate,4091,Moderate,58.94,Moderate,Medium-Term
58.2,Low,3726,Poor,50.64,Moderate,Medium-Term
80.6,Very High,104,Moderate,68.7,High,Short-Term
60.1,Very High,1546,Moderate,63.34,High,Short-Term
51.4,High,2264,Poor,58.28,Moderate,Medium-Term
27.5,High,3704,Good,57.58,Moderate,Medium-Term
94.6,Very High,153,Moderate,76.01,High,Short-Term
51.0,Very High,1436,Good,48.14,Moderate,Medium-Term
43.2,High,874,Moderate,46.1,Moderate,Medium-Term
68.7,Moderate,1685,Good,53.0,Moderate,Medium-Term
21.3,High,2721,Poor,53.14,Moderate,Medium-Term
68.5,Moderate,4777,Poor,65.3,High,Short-Term
15.6,Very High,1507,Good,44.75,Moderate,Medium-Term
15.7,Very High,4976,Moderate,65.88,High,Short-Term
26.9,High,3966,Moderate,53.21,Moderate,Medium-Term
30.6,High,2683,Moderate,48.37,Moderate,Medium-Term
56.3,Very High,146,Moderate,49.17,Moderate,Medium-Term
40.9,Moderate,3842,Moderate,44.49,Moderate,Medium-Term
70.4,Moderate,2196,Moderate,61.24,High,Short-Term
2.4,Very High,3232,Moderate,50.7,Moderate,Medium-Term
73.9,Moderate,4220,Moderate,70.95,High,Short-Term
10.7,Moderate,1414,Moderate,35.47,Low,Monitor
94.1,Very High,476,Poor,74.33,High,Short-Term
96.0,Very High,2146,Moderate,85.97,Critical,Immediate
58.6,Low,930,Good,36.96,Low,Monitor
27.6,High,3689,Moderate,48.2,Moderate,Medium-Term
13.4,Low,2758,Poor,34.59,Low,Monitor
15.2,Moderate,4931,Moderate,48.73,Moderate,Medium-Term
56.2,Very High,2108,Moderate,65.26,High,Short-Term
76.3,High,4660,Poor,85.67,Critical,Immediate
69.0,Moderate,657,Poor,57.91,Moderate,Medium-Term
31.4,High,3752,Poor,67.4,High,Short-Term
18.4,Very High,1965,Moderate,48.1,Moderate,Medium-Term
19.9,High,2191,Poor,54.94,Moderate,Medium-Term
2.3,Low,3465,Moderate,28.0,Low,Monitor
48.6,Low,4428,Good,51.83,Moderate,Medium-Term
51.2,Low,4734,Moderate,59.79,Moderate,Medium-Term
96.0,High,4513,Moderate,78.17,High,Short-Term
33.4,Low,718,Poor,28.28,Low,Monitor
55.8,Low,4456,Good,52.63,Moderate,Medium-Term
84.6,Low,4801,Moderate,65.57,High,Short-Term
99.3,Low,3630,Moderate,63.72,High,Short-Term
88.9,Moderate,2806,Good,55.25,Moderate,Medium-Term
57.5,Very High,4423,Poor,82.9,Critical,Immediate
94.9,Low,3388,Poor,63.72,High,Short-Term
62.4,Very High,254,Good,49.96,Moderate,Medium-Term
42.7,High,1925,Poor,60.69,High,Short-Term
32.7,Very High,1741,Poor,66.47,High,Short-Term
89.3,Moderate,1647,Good,51.14,Moderate,Medium-Term
18.2,Low,4469,Poor,51.61,Moderate,Medium-Term
3.9,Moderate,4524,Moderate,49.23,Moderate,Medium-Term
32.7,High,1985,Poor,49.98,Moderate,Medium-Term
30.3,Very High,2320,Good,58.37,Moderate,Medium-Term
21.7,High,323,Good,40.43,Moderate,Medium-Term
94.4,Low,3172,Good,55.33,Moderate,Medium-Term
74.4,Moderate,3216,Good,56.05,Moderate,Medium-Term
39.9,Moderate,3217,Poor,59.61,Moderate,Medium-Term
9.3,Moderate,4250,Poor,51.59,Moderate,Medium-Term
12.2,Moderate,1085,Moderate,34.96,Low,Monitor
35.8,High,3500,Good,47.4,Moderate,Medium-Term
9.1,High,4015,Moderate,49.39,Moderate,Medium-Term
94.5,Low,159,Moderate,53.56,Moderate,Medium-Term
40.0,Low,3005,Moderate,48.15,Moderate,Medium-Term
83.7,Very High,2563,Good,79.05,High,Short-Term
8.4,Very High,3961,Good,57.5,Moderate,Medium-Term
27.5,High,471,Good,42.57,Moderate,Medium-Term
17.7,Low,1148,Poor,25.53,Low,Monitor
69.5,Low,601,Poor,51.82,Moderate,Medium-Term
86.6,High,3144,Poor,76.78,High,Short-Term
15.7,Moderate,1530,Poor,46.8,Moderate,Medium-Term
74.2,Moderate,3090,Good,60.91,High,Short-Term
3.0,Moderate,2607,Moderate,35.98,Low,Monitor
90.9,High,2730,Good,72.76,High,Short-Term
33.2,Very High,380,Poor,60.34,High,Short-Term
91.4,Low,4519,Moderate,69.27,High,Short-Term
72.3,Moderate,1395,Good,41.12,Moderate,Medium-Term
89.7,Low,3539,Good,49.85,Moderate,Medium-Term
47.6,Very High,4496,Moderate,64.79,High,Short-Term
60.3,Low,2651,Moderate,46.22,Moderate,Medium-Term
90.3,Moderate,2745,Poor,70.98,High,Short-Term
95.7,Low,4014,Moderate,68.53,High,Short-Term
85.2,Moderate,1130,Good,52.58,Moderate,Medium-Term
80.5,Moderate,1947,Poor,57.03,Moderate,Medium-Term
9.5,Very High,2412,Poor,47.9,Moderate,Medium-Term
22.6,Moderate,2566,Moderate,44.04,Moderate,Medium-Term
46.2,High,1178,Moderate,49.63,Moderate,Medium-Term
66.1,Low,3254,Poor,49.17,Moderate,Medium-Term
19.8,Moderate,217,Good,27.95,Low,Monitor
83.5,Moderate,1426,Moderate,54.59,Moderate,Medium-Term
57.2,Very High,2917,Good,65.25,High,Short-Term
81.7,Very High,3803,Good,74.56,High,Short-Term
26.3,Very High,1065,Poor,51.18,Moderate,Medium-Term
76.9,High,2862,Good,59.94,Moderate,Medium-Term
80.7,Very High,4596,Moderate,85.24,Critical,Immediate
66.8,High,4352,Moderate,63.8,High,Short-Term
36.5,Low,4550,Good,34.98,Low,Monitor
97.5,Low,1085,Poor,62.12,High,Short-Term
12.6,High,2615,Moderate,43.85,Moderate,Medium-Term
98.4,Low,4234,Good,60.24,High,Short-Term
94.1,Moderate,1260,Poor,61.27,High,Short-Term
1.7,High,4405,Poor,57.95,Moderate,Medium-Term
56.3,Low,4467,Moderate,53.2,Moderate,Medium-Term
69.4,Moderate,3167,Good,48.56,Moderate,Medium-Term
16.6,Moderate,1345,Poor,46.02,Moderate,Medium-Term
61.0,Moderate,2380,Good,56.21,Moderate,Medium-Term
94.9,High,3293,Poor,89.19,Critical,Immediate
89.4,Very High,2737,Good,77.28,High,Short-Term
30.0,Low,2158,Poor,40.27,Moderate,Medium-Term
31.2,Low,585,Moderate,22.5,Low,Monitor
48.1,Moderate,2086,Moderate,52.26,Moderate,Medium-Term
64.6,Very High,4944,Good,69.87,High,Short-Term
35.0,Moderate,2362,Good,45.98,Moderate,Medium-Term
12.3,Moderate,1786,Moderate,28.23,Low,Monitor
27.5,High,188,Poor,39.51,Low,Monitor
31.1,Low,3959,Good,39.79,Low,Monitor
29.9,Low,4533,Poor,50.61,Moderate,Medium-Term
15.4,High,2329,Good,38.31,Low,Monitor
89.1,Low,3921,Moderate,63.23,High,Short-Term
87.6,Very High,2484,Good,72.47,High,Short-Term
8.9,High,2076,Poor,46.58,Moderate,Medium-Term
70.2,Very High,3554,Good,72.5,High,Short-Term
86.5,High,2359,Moderate,71.95,High,Short-Term
32.9,High,3021,Good,41.31,Moderate,Medium-Term
71.3,Very High,2088,Poor,74.48,High,Short-Term
59.1,High,951,Poor,59.55,Moderate,Medium-Term
60.7,Very High,4351,Poor,78.02,High,Short-Term
60.2,Low,4815,Good,44.71,Moderate,Medium-Term
76.4,High,4852,Poor,84.75,Critical,Immediate
60.4,Very High,426,Moderate,61.19,High,Short-Term
44.0,Very High,4796,Poor,68.43,High,Short-Term
39.9,Very High,310,Good,47.77,Moderate,Medium-Term
2.4,High,909,Moderate,41.21,Moderate,Medium-Term
80.2,Very High,2176,Moderate,77.86,High,Short-Term
34.4,Moderate,2366,Moderate,48.54,Moderate,Medium-Term
32.5,High,1415,Good,43.47,Moderate,Medium-Term
86.3,High,3387,Moderate,78.25,High,Short-Term
17.2,Very High,828,Moderate,42.96,Moderate,Medium-Term
53.8,Moderate,2693,Moderate,45.72,Moderate,Medium-Term
72.2,Very High,2663,Poor,77.13,High,Short-Term
18.6,Very High,1756,Moderate,55.23,Moderate,Medium-Term
48.5,High,3686,Moderate,65.8,High,Short-Term
95.9,High,230,Good,55.02,Moderate,Medium-Term
31.1,High,4686,Poor,59.73,Moderate,Medium-Term
61.8,Low,1727,Good,32.49,Low,Monitor
59.8,Very High,2257,Good,64.91,High,Short-Term
53.3,Very High,1189,Moderate,53.07,Moderate,Medium-Term
95.6,High,4770,Good,75.22,High,Short-Term
22.5,Low,2114,Poor,31.06,Low,Monitor
99.3,Low,4150,Good,67.18,High,Short-Term
98.3,Moderate,1950,Moderate,67.07,High,Short-Term
21.6,Low,2531,Good,35.61,Low,Monitor
85.8,Very High,3695,Moderate,81.71,Critical,Immediate
99.8,Moderate,3477,Good,72.41,High,Short-Term
58.1,Very High,2242,Poor,75.3,High,Short-Term
36.4,High,3633,Moderate,55.1,Moderate,Medium-Term
92.6,Moderate,2722,Poor,68.76,High,Short-Term
95.8,Moderate,2735,Poor,68.17,High,Short-Term
53.8,Moderate,891,Poor,53.47,Moderate,Medium-Term
53.5,Low,1966,Poor,44.41,Moderate,Medium-Term
70.2,Moderate,3911,Moderate,63.9,High,Short-Term
5.3,Very High,4172,Poor,58.77,Moderate,Medium-Term
95.3,Moderate,281,Poor,61.41,High,Short-Term
65.0,High,4004,Poor,68.39,High,Short-Term
68.2,Low,2361,Poor,49.59,Moderate,Medium-Term
89.7,Low,4996,Moderate,65.27,High,Short-Term
76.4,Moderate,3346,Good,60.71,High,Short-Term
31.0,High,2807,Good,48.7,Moderate,Medium-Term
87.6,Very High,1281,Poor,84.71,Critical,Immediate
58.7,Low,533,Poor,47.0,Moderate,Medium-Term
58.7,Low,621,Poor,41.9,Moderate,Medium-Term
16.1,Moderate,2138,Poor,46.32,Moderate,Medium-Term
99.0,Moderate,341,Poor,70.62,High,Short-Term
72.9,High,829,Good,61.47,High,Short-Term
57.4,Very High,3438,Moderate,72.98,High,Short-Term
13.9,High,1599,Good,33.74,Low,Monitor
17.7,Very High,2164,Moderate,44.3,Moderate,Medium-Term
26.1,Moderate,1956,Moderate,47.23,Moderate,Medium-Term
63.3,High,3800,Good,63.24,High,Short-Term
2.0,Low,4663,Good,32.77,Low,Monitor
9.5,Low,4434,Good,23.63,Low,Monitor
38.5,Low,4753,Poor,50.74,Moderate,Medium-Term
6.9,Moderate,1644,Poor,38.67,Low,Monitor
18.2,Moderate,2928,Good,42.03,Moderate,Medium-Term
91.3,High,4802,Good,82.92,Critical,Immediate
70.6,Moderate,4256,Good,64.76,High,Short-Term
44.5,Low,4503,Good,49.01,Moderate,Medium-Term
31.2,High,982,Moderate,47.78,Moderate,Medium-Term
59.0,Moderate,916,Moderate,41.9,Moderate,Medium-Term
15.5,High,3824,Poor,56.74,Moderate,Medium-Term
38.9,Very High,1053,Poor,59.95,Moderate,Medium-Term
33.8,High,1258,Good,49.73,Moderate,Medium-Term
49.1,Very High,440,Moderate,47.89,Moderate,Medium-Term
98.2,Very High,4942,Good,91.2,Critical,Immediate
9.1,High,4419,Poor,57.31,Moderate,Medium-Term
53.2,Very High,4575,Poor,73.38,High,Short-Term
32.0,Very High,1722,Moderate,61.2,High,Short-Term
42.6,Very High,3188,Good,59.01,Moderate,Medium-Term
49.1,High,4697,Moderate,67.72,High,Short-Term
30.6,High,551,Poor,53.46,Moderate,Medium-Term
18.8,Low,2615,Poor,41.26,Moderate,Medium-Term
57.1,Moderate,2669,Poor,51.18,Moderate,Medium-Term
2.8,High,3253,Good,37.12,Low,Monitor
53.8,Very High,4264,Poor,82.73,Critical,Immediate
50.9,Low,1857,Good,35.06,Low,Monitor
18.6,Moderate,2723,Good,38.82,Low,Monitor
49.5,Low,470,Moderate,29.5,Low,Monitor
68.9,High,138,Good,52.72,Moderate,Medium-Term
91.5,High,1550,Moderate,73.45,High,Short-Term
37.2,Very High,466,Good,40.65,Moderate,Medium-Term
24.6,High,3563,Poor,59.24,Moderate,Medium-Term
86.4,High,1778,Poor,76.39,High,Short-Term
27.3,Low,3506,Moderate,36.61,Low,Monitor
84.3,Moderate,4099,Moderate,70.0,High,Short-Term
62.7,Very High,442,Poor,69.23,High,Short-Term
12.9,Moderate,677,Poor,28.8,Low,Monitor
15.9,Very High,644,Good,40.23,Moderate,Medium-Term
16.7,High,3362,Moderate,49.87,Moderate,Medium-Term
28.5,High,988,Good,37.75,Low,Monitor
88.6,Moderate,808,Poor,67.53,High,Short-Term
20.1,Low,3941,Moderate,31.55,Low,Monitor
22.9,Very High,1611,Good,50.16,Moderate,Medium-Term
80.6,Moderate,3671,Poor,68.57,High,Short-Term
73.8,Very High,4990,Good,79.9,High,Short-Term
50.4,Moderate,1823,Poor,49.77,Moderate,Medium-Term
56.9,Moderate,2896,Moderate,60.75,High,Short-Term
35.0,Moderate,562,Moderate,35.08,Low,Monitor
94.7,Low,1945,Good,53.46,Moderate,Medium-Term
33.6,Very High,307,Moderate,42.1,Moderate,Medium-Term
24.6,High,4661,Good,47.04,Moderate,Medium-Term
96.4,Low,1012,Poor,51.08,Moderate,Medium-Term
51.8,Low,1491,Poor,51.26,Moderate,Medium-Term
37.0,Moderate,950,Poor,40.24,Moderate,Medium-Term
38.1,Low,3274,Poor,40.59,Moderate,Medium-Term
22.5,Low,4717,Poor,40.17,Moderate,Medium-Term
64.9,Very High,4781,Poor,81.27,Critical,Immediate
68.6,Very High,3783,Poor,76.19,High,Short-Term
49.1,High,2927,Poor,63.42,High,Short-Term
91.9,Moderate,3820,Poor,81.26,Critical,Immediate
22.4,High,1528,Moderate,51.94,Moderate,Medium-Term
88.2,High,271,Moderate,66.84,High,Short-Term
14.4,Very High,3461,Poor,66.21,High,Short-Term
85.2,Very High,1124,Poor,73.22,High,Short-Term
94.2,Very High,3522,Moderate,86.8,Critical,Immediate
44.4,Very High,3897,Moderate,64.53,High,Short-Term
66.5,Moderate,4441,Good,54.98,Moderate,Medium-Term
71.3,Moderate,3077,Moderate,60.53,High,Short-Term
76.4,Very High,3170,Poor,77.58,High,Short-Term
39.3,Very High,990,Poor,61.4,High,Short-Term
30.0,Very High,516,Good,39.53,Low,Monitor
55.2,Moderate,3248,Poor,58.97,Moderate,Medium-Term
94.3,Low,1791,Moderate,56.25,Moderate,Medium-Term
17.2,Moderate,3392,Poor,51.85,Moderate,Medium-Term
19.8,Very High,2692,Moderate,49.63,Moderate,Medium-Term
73.8,Very High,2690,Poor,84.77,Critical,Immediate
61.2,Low,895,Good,28.87,Low,Monitor
0.9,Low,2815,Good,19.08,Low,Monitor
90.2,Moderate,1333,Good,51.82,Moderate,Medium-Term
6.6,High,4879,Moderate,51.43,Moderate,Medium-Term
70.4,High,2584,Good,65.32,High,Short-Term
16.0,Moderate,1437,Moderate,27.75,Low,Monitor
91.0,Very High,1396,Poor,79.52,High,Short-Term
47.0,High,2143,Good,53.14,Moderate,Medium-Term
14.7,Very High,895,Good,34.39,Low,Monitor
38.1,Very High,4006,Good,65.13,High,Short-Term
58.6,High,3712,Poor,71.76,High,Short-Term
44.7,Low,4128,Poor,53.48,Moderate,Medium-Term
88.6,Low,3130,Good,48.87,Moderate,Medium-Term
62.4,Very High,1324,Good,66.53,High,Short-Term
79.1,Moderate,2727,Moderate,64.47,High,Short-Term
94.9,Low,3005,Poor,73.22,High,Short-Term
49.5,Very High,1484,Moderate,64.88,High,Short-Term
19.2,High,4363,Good,49.5,Moderate,Medium-Term
90.6,Low,2056,Poor,57.09,Moderate,Medium-Term
44.9,Very High,2864,Good,55.04,Moderate,Medium-Term
99.5,Very High,757,Moderate,74.67,High,Short-Term
13.1,Low,4799,Good,31.12,Low,Monitor
20.0,Very High,3213,Moderate,48.43,Moderate,Medium-Term
67.2,Very High,2849,Moderate,75.77,High,Short-Term
85.4,Very High,3435,Poor,82.35,Critical,Immediate
94.3,High,4625,Good,76.82,High,Short-Term
26.7,Very High,794,Poor,60.38,High,Short-Term
86.1,Low,288,Good,46.69,Moderate,Medium-Term
10.7,Low,1550,Moderate,17.99,Low,Monitor
57.2,Moderate,815,Good,33.43,Low,Monitor
1.3,High,676,Good,29.98,Low,Monitor
96.6,Very High,2810,Poor,79.99,High,Short-Term
12.2,Moderate,1734,Poor,45.78,Moderate,Medium-Term
18.6,Low,131,Moderate,26.7,Low,Monitor
23.3,Low,750,Moderate,23.29,Low,Monitor
52.9,Very High,1716,Poor,74.44,High,Short-Term
60.5,Moderate,3943,Moderate,63.16,High,Short-Term
59.2,Low,3725,Good,46.24,Moderate,Medium-Term
8.0,Moderate,2256,Good,35.87,Low,Monitor
57.5,Moderate,1115,Poor,56.53,Moderate,Medium-Term
18.8,High,1965,Good,38.25,Low,Monitor
83.6,High,3477,Poor,80.67,Critical,Immediate
21.8,High,2924,Poor,50.43,Moderate,Medium-Term
0.7,High,2405,Good,28.4,Low,Monitor
6.3,High,594,Poor,43.92,Moderate,Medium-Term
43.0,Very High,198,Poor,59.88,Moderate,Medium-Term
31.8,High,639,Poor,45.14,Moderate,Medium-Term
84.0,Very High,3033,Poor,87.76,Critical,Immediate
37.0,High,4106,Moderate,60.1,High,Short-Term
74.5,Moderate,4910,Good,56.4,Moderate,Medium-Term
35.3,Very High,3881,Moderate,70.66,High,Short-Term
84.6,Very High,3898,Moderate,80.43,Critical,Immediate
14.2,Very High,3537,Good,56.59,Moderate,Medium-Term
78.8,Very High,1323,Moderate,66.72,High,Short-Term
43.4,Moderate,1337,Poor,55.43,Moderate,Medium-Term
21.7,Low,3305,Moderate,30.21,Low,Monitor
33.7,Low,4174,Moderate,38.02,Low,Monitor
83.0,High,1965,Good,62.19,High,Short-Term
72.4,Very High,3664,Good,71.3,High,Short-Term
66.6,High,968,Good,59.93,Moderate,Medium-Term
70.6,High,1258,Good,55.54,Moderate,Medium-Term
49.4,Moderate,3510,Moderate,46.04,Moderate,Medium-Term
30.8,Moderate,2873,Poor,46.99,Moderate,Medium-Term
61.8,Low,1160,Poor,43.03,Moderate,Medium-Term
72.5,Moderate,3127,Poor,73.16,High,Short-Term
6.3,Very High,3131,Moderate,46.67,Moderate,Medium-Term
94.5,Moderate,2660,Poor,78.12,High,Short-Term
97.3,High,4646,Moderate,83.88,Critical,Immediate
33.1,Moderate,1141,Moderate,43.16,Moderate,Medium-Term
57.2,Moderate,4956,Poor,63.38,High,Short-Term
82.0,Very High,4714,Moderate,89.81,Critical,Immediate
31.3,Low,3246,Good,36.42,Low,Monitor
8.1,Very High,3890,Poor,66.06,High,Short-Term
94.7,High,648,Moderate,63.97,High,Short-Term
19.3,High,1272,Moderate,47.4,Moderate,Medium-Term
5.9,Moderate,1929,Poor,29.58,Low,Monitor
35.6,Very High,4702,Good,67.31,High,Short-Term
95.7,Very High,2673,Poor,91.57,Critical,Immediate
20.0,Moderate,4995,Poor,48.66,Moderate,Medium-Term
73.3,Moderate,4388,Poor,67.48,High,Short-Term
79.1,Very High,189,Moderate,60.62,High,Short-Term
14.4,Low,336,Poor,28.93,Low,Monitor
42.1,High,3908,Good,55.02,Moderate,Medium-Term
38.2,Moderate,4964,Moderate,59.87,Moderate,Medium-Term
10.8,High,3835,Moderate,44.28,Moderate,Medium-Term
60.7,High,1434,Poor,56.29,Moderate,Medium-Term
95.6,Low,529,Moderate,51.42,Moderate,Medium-Term
36.9,High,3172,Poor,53.26,Moderate,Medium-Term
43.4,High,3340,Good,51.28,Moderate,Medium-Term
83.6,Low,2417,Moderate,54.98,Moderate,Medium-Term
56.9,Low,1180,Moderate,32.65,Low,Monitor
6.8,Moderate,937,Poor,28.49,Low,Monitor
71.4,Low,3051,Moderate,49.6,Moderate,Medium-Term
41.3,Low,4134,Moderate,46.71,Moderate,Medium-Term
52.5,Very High,1369,Poor,70.27,High,Short-Term
81.4,Very High,1403,Good,69.8,High,Short-Term
86.9,Moderate,2060,Good,58.98,Moderate,Medium-Term
55.8,Low,1947,Moderate,35.0,Low,Monitor
21.9,Moderate,1350,Good,31.07,Low,Monitor
32.3,Very High,257,Poor,57.83,Moderate,Medium-Term
49.2,Very High,4605,Good,59.78,Moderate,Medium-Term
59.0,Moderate,1980,Poor,56.18,Moderate,Medium-Term
34.9,Low,4864,Moderate,46.82,Moderate,Medium-Term
82.9,Very High,1843,Good,68.47,High,Short-Term
91.5,High,2276,Poor,74.37,High,Short-Term
38.8,Moderate,2199,Moderate,40.01,Moderate,Medium-Term
89.8,Very High,1076,Poor,73.55,High,Short-Term
2.9,Very High,1776,Good,33.42,Low,Monitor
38.7,Low,1784,Good,35.34,Low,Monitor
73.6,High,1855,Poor,73.52,High,Short-Term
36.1,Low,1982,Poor,47.05,Moderate,Medium-Term
84.4,Moderate,4286,Good,61.64,High,Short-Term
21.6,Moderate,2835,Good,36.89,Low,Monitor
72.0,High,3850,Moderate,72.23,High,Short-Term
16.5,Very High,4033,Poor,64.71,High,Short-Term
79.5,Moderate,736,Poor,52.24,Moderate,Medium-Term
0.0,Low,509,Good,19.69,Low,Monitor
93.0,High,3745,Moderate,81.19,Critical,Immediate
96.1,Low,538,Moderate,46.23,Moderate,Medium-Term
19.1,Very High,3154,Good,47.28,Moderate,Medium-Term
65.4,High,386,Good,46.76,Moderate,Medium-Term
26.3,Moderate,1085,Poor,45.21,Moderate,Medium-Term
68.2,Low,4003,Good,42.61,Moderate,Medium-Term
8.6,Moderate,3829,Poor,49.2,Moderate,Medium-Term
27.3,Low,4713,Moderate,36.42,Low,Monitor
69.2,Moderate,633,Moderate,52.1,Moderate,Medium-Term
3.0,Very High,3642,Moderate,50.22,Moderate,Medium-Term
97.3,Low,616,Moderate,54.88,Moderate,Medium-Term
71.9,Moderate,2289,Good,55.06,Moderate,Medium-Term
96.3,Moderate,2023,Poor,68.72,High,Short-Term
0.2,Low,4713,Moderate,34.86,Low,Monitor
70.3,Moderate,487,Moderate,46.87,Moderate,Medium-Term
59.8,Very High,3970,Poor,72.68,High,Short-Term
65.9,High,4613,Poor,71.1,High,Short-Term
73.5,High,3434,Good,66.24,High,Short-Term
37.2,High,2495,Good,53.53,Moderate,Medium-Term
75.2,Very High,4542,Moderate,78.26,High,Short-Term
43.2,High,1227,Moderate,56.83,Moderate,Medium-Term
64.5,Very High,4517,Poor,76.52,High,Short-Term
4.3,Moderate,2898,Poor,42.97,Moderate,Medium-Term
74.5,Moderate,1786,Poor,59.31,Moderate,Medium-Term
82.3,Low,4207,Poor,58.55,Moderate,Medium-Term
10.4,Low,2186,Poor,35.26,Low,Monitor
16.5,Moderate,2843,Moderate,33.52,Low,Monitor
73.2,High,4592,Moderate,74.36,High,Short-Term
81.9,Moderate,4826,Moderate,74.47,High,Short-Term
68.8,Low,1949,Poor,54.43,Moderate,Medium-Term
15.6,Moderate,104,Poor,38.43,Low,Monitor
49.5,Low,2611,Good,42.36,Moderate,Medium-Term
30.3,Moderate,4539,Poor,50.06,Moderate,Medium-Term
81.4,Low,232,Good,36.65,Low,Monitor
20.7,Low,649,Moderate,24.08,Low,Monitor
11.9,High,3401,Good,46.44,Moderate,Medium-Term
30.0,Very High,3171,Good,51.54,Moderate,Medium-Term
61.9,Very High,4960,Good,75.87,High,Short-Term
97.7,Very High,2718,Moderate,73.57,High,Short-Term
70.1,Very High,4515,Good,72.85,High,Short-Term
58.7,High,4116,Good,60.59,High,Short-Term
96.3,Low,3990,Moderate,65.36,High,Short-Term
8.3,Low,3824,Moderate,37.18,Low,Monitor
24.1,Very High,381,Moderate,42.92,Moderate,Medium-Term
77.7,Very High,1874,Poor,74.51,High,Short-Term
1.0,Moderate,4961,Poor,52.43,Moderate,Medium-Term
93.6,Very High,666,Poor,71.57,High,Short-Term
27.5,Very High,4488,Poor,72.42,High,Short-Term
